id,name,intelligence,strength,speed,durability,power,combat,full_name,publisher,alignment,gender,eye_color,hair_color,url,height_cm,weight_kg
163,Cat,NA,90,NA,NA,NA,NA,Shirlee Bryant,Marvel Comics,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/904.jpg,173,61
164,Cat Ii,NA,NA,NA,NA,NA,NA,NA,Marvel Comics,Good,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/903.jpg,NA,NA
165,Catwoman,69,11,33,28,27,85,Selina Kyle,Dc Comics,Good,Female,Green,Black,https://www.superherodb.com/pictures2/portraits/10/100/659.jpg,175,61
166,Cecilia Reyes,NA,NA,NA,NA,NA,NA,Dr. Cecilia Reyes,Marvel Comics,Good,NA,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/43.jpg,170,62
167,Century,88,80,53,64,100,100,NA,Marvel Comics,Good,Male,White,White,https://www.superherodb.com/pictures2/portraits/10/100/1511.jpg,201,97
168,Cerebra,NA,57,NA,NA,NA,NA,Shakti Haddad,Marvel Comics,Good,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1512.jpg,NA,NA
169,Chamber,50,10,20,80,57,64,Jonothon Evan Starsmore,Marvel Comics,Good,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/44.jpg,175,63
170,Chameleon,88,10,12,28,28,28,Dmitri Anatoly Smerdyakov Kravinoff,Dc Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/660.jpg,NA,NA
171,Changeling,63,10,23,42,64,64,Kevin Sidney,Marvel Comics,Bad,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/1107.jpg,180,81
172,Cheetah,38,8,42,20,32,70,Priscilla Rich,Dc Comics,Bad,Female,Green,Blond,https://www.superherodb.com/pictures2/portraits/10/100/661.jpg,163,50
173,Cheetah Ii,38,20,42,20,39,60,Deborah Domaine,Dc Comics,Bad,Female,Green,Brown,https://www.superherodb.com/pictures2/portraits/10/100/925.jpg,170,55
174,Cheetah Iii,88,100,88,80,78,95,Barbara Minerva,Dc Comics,Bad,Female,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/926.jpg,175,54
175,Chromos,NA,NA,NA,NA,NA,NA,Bernard Embers,Team Epic Tv,Bad,Male,Brown,Dual Color,https://www.superherodb.com/pictures2/portraits/10/100/1001.jpg,185,86
176,Chuck Norris,50,80,47,56,42,99,Carlos Ray Norris,NA,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/954.jpg,178,NA
177,Citizen Steel,50,95,33,100,23,60,Nathan Heywood,Dc Comics,Good,Male,Green,Red,https://www.superherodb.com/pictures2/portraits/10/100/10661.jpg,183,170
178,Claire Bennet,38,9,12,100,90,28,Claire Bennet,Nbc - Heroes,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/941.jpg,NA,NA
179,Clea,NA,39,NA,NA,NA,NA,Clea,Marvel Comics,Good,NA,NA,White,https://www.superherodb.com/pictures2/portraits/10/100/45.jpg,NA,NA
180,Cloak,63,10,47,64,100,56,Tyrone Johnson,Marvel Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/46.jpg,226,70
181,Clock King,75,10,17,10,7,40,William Tockman,Dc Comics,Bad,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/10396.jpg,178,78
182,Cogliostro,NA,NA,NA,NA,NA,NA,Cain,Image Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1074.jpg,NA,NA
183,Colin Wagner,NA,NA,NA,NA,NA,NA,NA,Harpercollins,Good,Male,Grey,Brown,https://www.superherodb.com/pictures2/portraits/10/100/1153.jpg,NA,NA
184,Colossal Boy,NA,NA,NA,NA,NA,NA,NA,Dc Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1182.jpg,NA,NA
185,Colossus,63,83,33,100,45,80,Piotr Nikolaievitch Rasputin,Marvel Comics,Good,Male,Others,Black,https://www.superherodb.com/pictures2/portraits/10/100/48.jpg,226,225
186,Copycat,56,10,21,25,54,60,Vanessa Carlysle,Marvel Comics,Neutral,Female,Red,White,https://www.superherodb.com/pictures2/portraits/10/100/10423.jpg,183,67
187,Corsair,NA,16,NA,NA,NA,NA,Christopher Summers,Marvel Comics,Good,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/49.jpg,191,79
188,Cottonmouth,50,10,8,10,27,25,Burchell Clemens,Marvel Comics,Bad,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/10452.jpg,183,99
189,Crimson Crusader,NA,58,NA,NA,NA,NA,Rory Destine,Marvel Comics,Good,Male,Blue,Strawberry Blond,https://www.superherodb.com/pictures2/portraits/10/100/303.jpg,NA,NA
190,Crimson Dynamo,NA,65,NA,NA,NA,NA,Anton Vanko,Marvel Comics,Good,Male,Brown,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/1093.jpg,180,104
191,Crystal,63,16,12,14,61,56,Crystallia Amaquelin,Marvel Comics,Good,Female,Green,Red,https://www.superherodb.com/pictures2/portraits/10/100/305.jpg,168,50
192,Curse,NA,NA,NA,NA,NA,NA,Phillip Krahn,Image Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1066.jpg,NA,NA
193,Cy-Gor,NA,96,NA,NA,NA,NA,NA,Image Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1075.jpg,NA,NA
194,Cyborg,75,53,42,85,71,64,Victor Stone,Dc Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/1204.jpg,198,173
195,Cyborg Superman,75,93,92,100,100,80,Henry Henshaw,Dc Comics,Bad,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/667.jpg,NA,NA
196,Cyclops,75,10,23,42,76,80,Scott Summers,Marvel Comics,Good,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/50.jpg,191,88
197,Cypher,NA,44,NA,NA,NA,NA,Douglas Aaron Ramsey,Marvel Comics,Good,NA,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/168.jpg,175,68
198,Dagger,63,10,35,42,52,70,Tandy Bowen,Marvel Comics,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/51.jpg,NA,52
199,Danny Cooper,NA,NA,NA,NA,NA,NA,NA,Harpercollins,Good,Male,Brown,Blond,https://www.superherodb.com/pictures2/portraits/10/100/1152.jpg,NA,NA
200,Daphne Powell,38,10,8,10,56,10,Daphne Powell,Abc Studios,Good,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1356.jpg,NA,NA
201,Daredevil,75,13,25,35,61,100,Matt Murdock,Marvel Comics,Good,Male,Blue,Red,https://www.superherodb.com/pictures2/portraits/10/100/52.jpg,183,90
202,Darkhawk,50,32,33,70,74,64,Christopher Powell,Marvel Comics,Good,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/53.jpg,185,81
203,Darkman,75,14,23,85,12,28,Peyton Westlake,Others,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1126.jpg,NA,NA
204,Darkseid,88,100,83,100,100,95,Uxas,Dc Comics,Bad,Male,Red,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/668.jpg,267,817
205,Darkside,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/840.jpg,NA,NA
206,Darkstar,38,8,35,42,79,64,Laynia Petrovna,Marvel Comics,Good,Female,Brown,Blond,https://www.superherodb.com/pictures2/portraits/10/100/169.jpg,168,56
207,Darth Maul,56,48,50,30,100,100,NA,George Lucas,Bad,Male,Dual Color,NA,https://www.superherodb.com/pictures2/portraits/10/100/10464.jpg,170,NA
208,Darth Vader,69,48,33,35,100,100,Anakin Skywalker,George Lucas,Bad,Male,Yellow,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/10444.jpg,198,135
209,Dash,25,12,92,60,20,30,Dashiell Robert Parr,Dark Horse Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/824.jpg,122,27
210,Data,100,32,21,40,56,50,Data,Star Trek,Good,Male,Yellow,Brown,https://www.superherodb.com/pictures2/portraits/10/100/10577.jpg,NA,NA
211,Dazzler,63,10,33,60,100,55,Alison Blaire,Marvel Comics,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/1043.jpg,173,52
212,Deadman,50,10,33,100,100,42,Boston Brand,Dc Comics,Good,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/1472.jpg,183,90
213,Deadpool,69,32,50,100,100,100,Wade Wilson,Others,Neutral,Male,Brown,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/835.jpg,188,95
214,Deadshot,50,10,23,28,55,80,Floyd Lawton,Dc Comics,Bad,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/670.jpg,185,91
215,Deathlok,69,32,30,70,40,60,Luther Manning,Marvel Comics,Good,Male,Brown,Grey,https://www.superherodb.com/pictures2/portraits/10/100/1304.jpg,193,178
216,Deathstroke,75,30,35,100,47,90,Slade Joseph Wilson,Dc Comics,Neutral,Male,Blue,White,https://www.superherodb.com/pictures2/portraits/10/100/672.jpg,193,101
217,Demogoblin,50,48,42,35,67,60,NA,Marvel Comics,Bad,Male,Red,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/1515.jpg,185,95
218,Destroyer,50,95,58,98,85,70,NA,Marvel Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1294.jpg,188,383
219,Diamondback,44,16,23,28,45,60,Willis Stryker,Marvel Comics,Bad,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/1404.jpg,193,90
220,Dl Hawkins,50,12,12,56,48,56,Daniel Lawrence Hawkins,Nbc - Heroes,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/943.jpg,NA,NA
221,Doc Samson,75,80,33,80,36,70,Leonard Samson,Marvel Comics,Good,Male,Blue,Green,https://www.superherodb.com/pictures2/portraits/10/100/54.jpg,198,171
222,Doctor Doom,100,32,20,100,100,84,Victor Von Doom,Marvel Comics,Bad,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/189.jpg,201,187
223,Doctor Doom Ii,NA,NA,NA,NA,NA,NA,Kristoff Vernard,Marvel Comics,Bad,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/1018.jpg,201,132
224,Doctor Fate,81,16,25,80,100,50,Kent Nelson,Dc Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/676.jpg,188,89
225,Doctor Octopus,94,48,33,40,53,65,Otto Octavius,Marvel Comics,Bad,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/622.jpg,175,110
226,Doctor Strange,100,10,12,84,100,60,Stephen Strange,Marvel Comics,Good,Male,Grey,Black,https://www.superherodb.com/pictures2/portraits/10/100/55.jpg,188,81
227,Domino,63,10,27,28,49,74,Neena Thurman,Marvel Comics,Good,Female,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/902.jpg,173,54
228,Donatello,88,14,46,60,58,75,NA,Idw Publishing,Good,Male,Green,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/10330.jpg,NA,NA
229,Donna Troy,NA,89,NA,NA,NA,NA,Donna Hinckley Stacey Troy,Dc Comics,Good,Female,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/806.jpg,175,63
230,Doomsday,75,100,67,100,100,90,Doomsday,Dc Comics,Bad,Male,Red,White,https://www.superherodb.com/pictures2/portraits/10/100/679.jpg,244,412
231,Doppelganger,8,63,60,95,69,84,NA,Marvel Comics,Bad,Male,White,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/1320.jpg,196,104
232,Dormammu,88,95,83,100,100,80,Dormammu,Marvel Comics,Bad,Male,Yellow,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/1359.jpg,185,NA
233,Dr Manhattan,88,100,42,100,100,42,Jonathan Osterman,Dc Comics,Good,Male,White,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/884.jpg,NA,NA
234,Drax The Destroyer,56,80,25,85,46,65,Arthur Sampson Douglas,Marvel Comics,Good,Male,Red,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/10016.jpg,193,306
235,Ego,88,80,83,99,71,28,Ego,Marvel Comics,Bad,NA,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/6.jpg,NA,NA
236,Elastigirl,63,32,33,95,52,70,Helen Parr,Dark Horse Comics,Good,Female,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/870.jpg,168,56
237,Electro,69,10,50,56,67,64,Maxwell Dillon,Marvel Comics,Bad,Male,Blue,Auburn,https://www.superherodb.com/pictures2/portraits/10/100/7.jpg,180,74
238,Elektra,63,11,30,28,59,100,Elektra Natchios,Marvel Comics,Good,Female,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/625.jpg,175,59
239,Elle Bishop,50,8,12,42,63,42,NA,Nbc - Heroes,Bad,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/1021.jpg,NA,NA
240,Elongated Man,75,10,33,90,44,40,Ralph Dibny,Dc Comics,Good,Male,Blue,Red,https://www.superherodb.com/pictures2/portraits/10/100/1381.jpg,185,80
241,Emma Frost,75,63,35,90,100,42,Emma Frost,Marvel Comics,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/325.jpg,178,65
242,Enchantress,63,14,25,60,100,40,June Moone,Dc Comics,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/687.jpg,168,57
243,Energy,NA,NA,NA,NA,NA,NA,NA,Harpercollins,Good,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1155.jpg,NA,NA
244,Erg-1,NA,NA,NA,NA,NA,NA,NA,Dc Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1187.jpg,NA,NA
245,Ethan Hunt,75,11,29,30,26,95,Ethan Hunt,NA,Good,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/10476.jpg,168,NA
246,Etrigan,50,85,17,100,100,50,Jason Blood,Dc Comics,Neutral,Male,Red,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/10429.jpg,193,203
247,Evil Deadpool,69,32,50,100,100,100,Wade Wilson,Deadpool,Bad,Male,White,Red,https://www.superherodb.com/pictures2/portraits/10/100/10090.jpg,188,95
248,Evilhawk,50,32,33,70,85,64,Dargin Bokk,Marvel Comics,Bad,Male,Red,Black,https://www.superherodb.com/pictures2/portraits/10/100/1516.jpg,191,106
249,Exodus,63,81,28,28,100,70,Bennet Du Paris,Marvel Comics,Bad,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/1517.jpg,183,88
250,Fabian Cortez,NA,NA,NA,NA,NA,NA,Fabian Cortez,Marvel Comics,Bad,NA,Blue,Brown,https://www.superherodb.com/pictures2/portraits/10/100/24.jpg,196,96
251,Falcon,38,13,50,28,22,64,Sam Wilson,Marvel Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/56.jpg,188,108
252,Fallen One Ii,88,85,83,100,100,56,NA,Marvel Comics,Bad,Male,Black,Blue,https://www.superherodb.com/pictures2/portraits/10/100/1051.jpg,NA,NA
253,Faora,88,95,75,100,98,90,Faora Hu-Ul,Dc Comics,Bad,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1502.jpg,NA,NA
254,Feral,38,28,45,28,27,70,Maria Callasantos,Marvel Comics,Good,NA,Yellow,Dual Color,https://www.superherodb.com/pictures2/portraits/10/100/57.jpg,175,50
255,Fighting Spirit,NA,NA,NA,NA,NA,NA,Carol Carter,Dc Comics,Good,Female,NA,Red,https://www.superherodb.com/pictures2/portraits/10/100/1167.jpg,NA,NA
256,Fin Fang Foom,50,81,23,100,75,70,NA,Marvel Comics,Good,Male,Red,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/1518.jpg,975,NA
257,Firebird,38,8,40,14,100,42,Bonita Juarez,Marvel Comics,Good,Female,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/58.jpg,165,56
258,Firelord,38,63,75,90,52,28,Pyreus Kril,Marvel Comics,Good,NA,White,Yellow,https://www.superherodb.com/pictures2/portraits/10/100/59.jpg,193,99
259,Firestar,50,8,54,55,71,32,Angelica Jones,Marvel Comics,Good,Female,Green,Red,https://www.superherodb.com/pictures2/portraits/10/100/60.jpg,173,56
260,Firestorm,50,53,58,56,100,42,Jason Rusch,Dc Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/689.jpg,NA,NA
261,Firestorm,38,80,58,80,100,40,Ronald Raymond,Dc Comics,Good,Male,Blue,Auburn,https://www.superherodb.com/pictures2/portraits/10/100/10395.jpg,188,91
262,Fixer,NA,NA,NA,NA,NA,NA,Paul Norbert Ebersol,Marvel Comics,Bad,NA,Red,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/9.jpg,NA,NA
263,Flash,63,10,100,50,68,32,Jay Garrick,Dc Comics,Good,Male,Blue,Dual Color,https://www.superherodb.com/pictures2/portraits/10/100/891.jpg,180,81
264,Flash Gordon,NA,69,NA,NA,NA,NA,Steven Gordon,NA,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1345.jpg,NA,NA
265,Flash Ii,88,48,100,60,100,60,Barry Allen,Others,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/892.jpg,183,88
266,Flash Iii,63,10,100,60,100,32,Wally West,Others,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/690.jpg,183,86
267,Flash Iv,63,10,100,32,100,48,Bartholomew Allen Ii,Others,Good,Male,Yellow,Auburn,https://www.superherodb.com/pictures2/portraits/10/100/893.jpg,157,52
268,Forge,63,10,12,28,25,48,NA,Marvel Comics,Good,NA,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/62.jpg,183,81
269,Franklin Richards,63,80,50,60,100,50,Franklin  Richards,Marvel Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/63.jpg,142,45
270,Franklin Storm,38,10,1,1,0,10,Dr. Franklin Storm,Marvel Comics,Good,NA,Blue,Grey,https://www.superherodb.com/pictures2/portraits/10/100/170.jpg,188,92
271,Frenzy,63,53,35,100,38,52,Joanna Cargill,Marvel Comics,Bad,Female,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/1108.jpg,211,104
272,Frigga,NA,NA,NA,NA,NA,NA,Frigga,Marvel Comics,Good,Female,Blue,White,https://www.superherodb.com/pictures2/portraits/10/100/172.jpg,180,167
273,Galactus,100,100,83,100,100,50,Galan,Marvel Comics,Neutral,Male,Black,Black,https://www.superherodb.com/pictures2/portraits/10/100/862.jpg,876,NA
274,Gambit,63,10,23,28,55,84,Remy Etienne Lebeau,Marvel Comics,Good,Male,Red,Brown,https://www.superherodb.com/pictures2/portraits/10/100/64.jpg,185,81
275,Gamora,75,85,42,85,53,100,Gamora Zen Whoberi Ben Titan,Marvel Comics,Good,Female,Yellow,Black,https://www.superherodb.com/pictures2/portraits/10/100/65.jpg,183,77
276,Garbage Man,NA,82,NA,NA,NA,NA,Richard Ethan Morse,Dc Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1467.jpg,NA,NA
277,Gary Bell,63,5,8,10,54,10,Gary Bell,Syfy,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1526.jpg,NA,NA
278,General Zod,94,100,96,100,100,95,Dru-Zod,Dc Comics,Bad,Male,Black,Black,https://www.superherodb.com/pictures2/portraits/10/100/837.jpg,NA,NA
279,Genesis,NA,68,NA,NA,NA,NA,Tyler Dayspring,Marvel Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/1055.jpg,185,86
280,Ghost Rider,50,55,25,100,100,60,Johnny Blaze,Marvel Comics,Good,Male,Red,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/67.jpg,188,99
281,Ghost Rider Ii,NA,70,NA,NA,NA,NA,Daniel Ketch,Marvel Comics,Good,NA,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/68.jpg,NA,NA
282,Giant-Man,NA,78,NA,NA,NA,NA,Hank Pym,Ant-Man,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/858.jpg,NA,NA
283,Giant-Man Ii,NA,NA,NA,NA,NA,NA,NA,Marvel Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/343.jpg,NA,NA
284,Giganta,81,89,23,85,32,42,Doris Zuel,Dc Comics,Bad,Female,Green,Red,https://www.superherodb.com/pictures2/portraits/10/100/1376.jpg,NA,630
285,Gladiator,50,100,100,100,77,70,Kallark,Marvel Comics,Neutral,Male,Blue,Blue,https://www.superherodb.com/pictures2/portraits/10/100/1521.jpg,198,268
286,Goblin Queen,75,10,23,28,65,56,Madelyne Jennifer Pryor,Marvel Comics,Bad,Female,Green,Red,https://www.superherodb.com/pictures2/portraits/10/100/1054.jpg,168,50
287,Godzilla,44,100,54,100,100,20,Gojira,NA,Bad,NA,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/10590.jpg,NA,NA
288,Gog,50,34,47,72,39,56,NA,Dc Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/693.jpg,NA,NA
289,Goku,56,100,75,90,100,100,Kakarot,Shueisha,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1284.jpg,175,62
290,Goliath,NA,NA,NA,NA,NA,NA,Erik Josten,Others,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/845.jpg,NA,NA
291,Goliath,NA,NA,NA,NA,NA,NA,Clint Barton,Others,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/847.jpg,NA,NA
292,Goliath,NA,NA,NA,NA,NA,NA,Hank Pym,Ant-Man,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/846.jpg,NA,NA
293,Goliath Iv,NA,NA,NA,NA,NA,NA,William Barrett Foster,Marvel Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/879.jpg,183,90
294,Gorilla Grodd,81,53,33,70,100,65,Grodd,Dc Comics,Bad,Male,Yellow,Black,https://www.superherodb.com/pictures2/portraits/10/100/694.jpg,198,270
295,Granny Goodness,NA,96,NA,NA,NA,NA,NA,Dc Comics,Bad,Female,Blue,White,https://www.superherodb.com/pictures2/portraits/10/100/1344.jpg,178,115
296,Gravity,50,32,33,40,69,30,Greg Willis,Marvel Comics,Good,Male,Blue,Brown,https://www.superherodb.com/pictures2/portraits/10/100/74.jpg,178,79
297,Greedo,38,10,13,15,31,40,Greedo,George Lucas,Bad,Male,Purple,NA,https://www.superherodb.com/pictures2/portraits/10/100/10468.jpg,170,NA
298,Green Arrow,81,12,35,28,39,90,Oliver Queen,Dc Comics,Good,Male,Green,Blond,https://www.superherodb.com/pictures2/portraits/10/100/696.jpg,188,88
299,Green Goblin,100,48,38,60,48,50,Norman Osborn,Marvel Comics,Bad,Male,Blue,Auburn,https://www.superherodb.com/pictures2/portraits/10/100/579.jpg,180,83
300,Green Goblin Ii,75,55,37,50,44,26,Harold Osborn,Marvel Comics,Bad,Male,Blue,Auburn,https://www.superherodb.com/pictures2/portraits/10/100/25.jpg,178,77
301,Green Goblin Iii,NA,NA,NA,NA,NA,NA,Barton Hamilton,Marvel Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/351.jpg,183,88
302,Green Goblin Iv,NA,NA,NA,NA,NA,NA,Phillip Benjamin Urich,Marvel Comics,Good,Male,Green,Brown,https://www.superherodb.com/pictures2/portraits/10/100/75.jpg,178,79
303,Groot,75,85,33,70,100,64,Groot,Marvel Comics,Good,Male,Yellow,NA,https://www.superherodb.com/pictures2/portraits/10/100/10017.jpg,701,NA
304,Guardian,NA,45,NA,NA,NA,NA,James Hudson,Marvel Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/76.jpg,NA,NA
305,Guy Gardner,38,90,53,64,100,64,Guy Gardner,Dc Comics,Good,Male,Blue,Red,https://www.superherodb.com/pictures2/portraits/10/100/700.jpg,188,95
306,Hal Jordan,69,90,75,80,100,70,Hal Jordan,Dc Comics,Good,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/697.jpg,188,90
307,Han Solo,50,10,17,20,43,60,Han Solo,George Lucas,Good,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/10456.jpg,183,79
308,Hancock,63,90,67,100,100,50,John Hancock,Sony Pictures,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/1109.jpg,188,NA
309,Harley Quinn,88,12,33,65,55,80,Harley Quinn,Dc Comics,Bad,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/701.jpg,170,63
310,Harry Potter,75,7,21,10,100,50,Harry James Potter,Others,Good,Male,Green,Black,https://www.superherodb.com/pictures2/portraits/10/100/10878.jpg,NA,NA
311,Havok,63,10,25,60,71,45,Alexander Summers,Marvel Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/77.jpg,183,79
312,Hawk,38,38,35,95,43,42,Henry Hall,Dc Comics,Good,Male,Red,Brown,https://www.superherodb.com/pictures2/portraits/10/100/1382.jpg,185,89
313,Hawkeye,56,12,21,10,29,80,Clint Barton,Goliath,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/73.jpg,191,104
314,Hawkeye Ii,50,6,8,10,24,50,Katherine Elizabeth Bishop,Marvel Comics,Good,Female,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/10043.jpg,165,57
315,Hawkgirl,50,28,53,99,96,72,Kendra Saunders,Dc Comics,Good,Female,Green,Red,https://www.superherodb.com/pictures2/portraits/10/100/703.jpg,175,61
316,Hawkman,NA,66,NA,NA,NA,NA,Carter Hall,Dc Comics,Good,Male,Blue,Brown,https://www.superherodb.com/pictures2/portraits/10/100/839.jpg,185,88
317,Hawkwoman,NA,96,NA,NA,NA,NA,Shayera Hol,Dc Comics,Good,Female,Green,Red,https://www.superherodb.com/pictures2/portraits/10/100/702.jpg,175,54
318,Hawkwoman Ii,NA,NA,NA,NA,NA,NA,Sharon Parker,Dc Comics,Good,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1129.jpg,NA,NA
319,Hawkwoman Iii,NA,92,NA,NA,NA,NA,Shayera Thal,Dc Comics,Good,Female,Blue,Red,https://www.superherodb.com/pictures2/portraits/10/100/1130.jpg,170,65
320,Heat Wave,38,10,17,45,27,30,Mick Rory,Dc Comics,Bad,Male,Blue,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/705.jpg,180,81
321,Hela,63,100,46,100,100,45,NA,Marvel Comics,Bad,Female,Green,Black,https://www.superherodb.com/pictures2/portraits/10/100/10835.jpg,213,225
322,Hellboy,63,53,21,95,73,75,Anung Un Rama,Dark Horse Comics,Good,Male,Gold,Black,https://www.superherodb.com/pictures2/portraits/10/100/813.jpg,259,158
323,Hellcat,63,11,33,45,46,70,Patricia Walker,Marvel Comics,Good,Female,Blue,Red,https://www.superherodb.com/pictures2/portraits/10/100/79.jpg,173,61
324,Hellstorm,NA,56,NA,NA,NA,NA,Daimon Hellstrom,Marvel Comics,Good,Male,Red,Red,https://www.superherodb.com/pictures2/portraits/10/100/80.jpg,185,81
